ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Meta: inline_featured_image","Meta: rs_page_bg_color"
1620,variation,,"Plus Size Half Sleeve Evening Dress For Weddings - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1611,,,,,,9,Color,White,,1,,Size,Small,,1,,,
1621,variation,,"Plus Size Half Sleeve Evening Dress For Weddings - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1611,,,,,,10,Color,Yellow,,1,,Size,Large,,1,,,
1625,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,1,Color,Black,,1,,Size,Large,,1,,,
1626,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,2,Color,Black,,1,,Size,Medium,,1,,,
1627,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,3,Color,Black,,1,,Size,Small,,1,,,
1628,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,4,Color,Blue,,1,,Size,Large,,1,,,
1629,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,5,Color,Blue,,1,,Size,Medium,,1,,,
1630,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,6,Color,Blue,,1,,Size,Small,,1,,,
1631,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,7,Color,White,,1,,Size,Large,,1,,,
1632,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,8,Color,White,,1,,Size,Medium,,1,,,
1633,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,9,Color,White,,1,,Size,Small,,1,,,
1634,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,10,Color,Yellow,,1,,Size,Large,,1,,,
1635,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,11,Color,Yellow,,1,,Size,Medium,,1,,,
1636,variation,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1624,,,,,,12,Color,Yellow,,1,,Size,Small,,1,,,
1643,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,6,Color,Blue,,1,,Size,Small,,1,,,
1644,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,7,Color,White,,1,,Size,Large,,1,,,
1645,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,8,Color,White,,1,,Size,Medium,,1,,,
1646,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,9,Color,White,,1,,Size,Small,,1,,,
1647,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,10,Color,Yellow,,1,,Size,Large,,1,,,
1648,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,11,Color,Yellow,,1,,Size,Medium,,1,,,
1649,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,12,Color,Yellow,,1,,Size,Small,,1,,,
1638,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,1,Color,Black,,1,,Size,Large,,1,,,
1639,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,2,Color,Black,,1,,Size,Medium,,1,,,
1640,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,3,Color,Black,,1,,Size,Small,,1,,,
1641,variation,,"A-Line Maxi Long Prom Dresses for Women with Mesh - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1637,,,,,,4,Color,Blue,,1,,Size,Large,,1,,,
